City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
235,Oriximina,BR,79.97,-1.7656,-55.8661,Pousada Tia Amélia
237,Cururupu,BR,75.29,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
239,Adrar,MR,76.59,20.5022,-10.0711,
241,Kodinar,IN,75.42,20.7903,70.7031,residency of N.B vadhel
246,Auki,SB,82.83,-8.7676,160.7034,Auki Motel
247,Padang,ID,77.05,-0.9492,100.3543,Mercure Padang
252,Conde,BR,76.46,-7.2597,-34.9075,Pousada Beija Flor
256,Touros,BR,78.33,-5.1989,-35.4608,INN NEW HORIZON
258,Sabang,ID,80.94,5.8933,95.3214,Hotel Citra
262,Dingle,PH,77.74,10.9995,122.6711,SEGAYA PROPERTY
263,Santa Rosa,PH,76.08,14.3122,121.1114,Erlyn’s Sta Rosa City Home
276,Phan Thiet,VN,80.13,10.9333,108.1,Hotel Saigon-PT
278,Victoria,HK,78.24,22.2855,114.1577,Mini Central
